id,issue_type,complaint_text,area,votes,attachments,priority_label
2486,Public Toilet Issue,Toilet unclean,Giridih,84,2,Medium
2487,Drainage Blockage,Nali jam hai,Jamshedpur,40,2,Medium
2488,Illegal Parking,Cars parked illegally,Jamshedpur,92,2,High
2489,Illegal Parking,Blocking road,Jamshedpur,34,0,Medium
2490,Road Damage,Road damaged,Dhanbad,63,2,High
2491,Electricity Outage,Power cut in area,Dhanbad,21,3,High
2492,Water Leakage,Water leakage near colony,Jamshedpur,93,5,High
2493,Illegal Parking,Blocking road,Chaibasa,79,3,High
2494,Streetlight Not Working,Streetlight issue,Giridih,9,1,Medium
2495,Water Leakage,Pipeline burst,Giridih,16,3,High
2496,Road Damage,bad road condition,Chaibasa,68,4,High
2497,Noise Pollution,DJ loud hai,Hazaribagh,89,5,High
2498,Drainage Blockage,Drainage issue,Ranchi,39,1,Low
2499,Noise Pollution,Noise disturbing area,Ranchi,8,2,Medium
2500,Noise Pollution,high sound pollution,Hazaribagh,81,3,High
2501,Road Damage,road crack,Hazaribagh,59,3,High
2502,Electricity Outage,No electricity since morning,Chaibasa,73,3,High
2503,Illegal Parking,illegal gaadi parking,Ranchi,44,3,High
2504,Drainage Blockage,dirty water overflow,Bokaro,40,5,High
2505,Electricity Outage,power outage,Dhanbad,72,3,High
2506,Drainage Blockage,Nali jam hai,Giridih,17,4,High
2507,Public Toilet Issue,smelly toilet,Dhanbad,92,0,Medium
2508,Illegal Parking,illegal gaadi parking,Giridih,86,1,High
2509,Electricity Outage,power outage,Deoghar,67,4,High
2510,Streetlight Not Working,bulb kharab,Hazaribagh,38,2,Medium
2511,Garbage Dump,ganda kachra near market,Jamshedpur,39,4,Medium
2512,Noise Pollution,Noise disturbing area,Hazaribagh,31,5,High
2513,Electricity Outage,Bijli chali gayi,Ranchi,52,2,High
2514,Illegal Parking,no parking followed,Chaibasa,16,4,Medium
2515,Road Damage,Sadak kharab hai,Jamshedpur,74,2,High
2516,Noise Pollution,DJ loud hai,Ranchi,57,1,Medium
2517,Electricity Outage,No electricity since morning,Bokaro,66,2,High
2518,Public Toilet Issue,Toilet unclean,Dhanbad,74,1,High
2519,Illegal Parking,no parking followed,Jamshedpur,38,3,Medium
2520,Pothole,Big pothole on road,Deoghar,18,5,Medium
2521,Public Toilet Issue,toilet band hai,Deoghar,42,3,Medium
2522,Public Toilet Issue,Toilet unclean,Giridih,0,4,High
2523,Electricity Outage,Bijli chali gayi,Hazaribagh,90,2,High
2524,Garbage Dump,Overflowing garbage,Deoghar,9,1,Medium
2525,Illegal Parking,Cars parked illegally,Dhanbad,20,5,Medium
2526,Water Leakage,Pipeline burst,Bokaro,33,3,High
2527,Noise Pollution,Loud noise,Giridih,53,4,High
2528,Drainage Blockage,Drainage issue,Dhanbad,90,5,High
2529,Garbage Dump,ganda kachra near market,Chaibasa,82,5,High
2530,Pothole,Big pothole on road,Deoghar,38,1,Low
2531,Drainage Blockage,Drainage issue,Dhanbad,6,1,High
2532,Drainage Blockage,Nali jam hai,Bokaro,93,1,High
2533,Streetlight Not Working,Street dark at night,Ranchi,1,1,Low
2534,Streetlight Not Working,Street dark at night,Ranchi,1,1,Low
2535,Garbage Dump,Garbage not collected,Chaibasa,85,3,High
2536,Water Leakage,leakage of pani,Deoghar,99,3,High
2537,Drainage Blockage,Nali jam hai,Jamshedpur,26,0,Medium
2538,Electricity Outage,Power cut in area,Bokaro,62,1,High
2539,Water Leakage,pipe se pani nikal raha hai,Hazaribagh,5,1,High
2540,Pothole,Road broken badly,Dhanbad,11,3,High
2541,Drainage Blockage,Drainage issue,Giridih,7,3,High
2542,Garbage Dump,Garbage not collected,Chaibasa,60,5,High
2543,Noise Pollution,high sound pollution,Ranchi,23,2,Medium
2544,Public Toilet Issue,Public toilet problem,Chaibasa,19,5,Medium
2545,Water Leakage,leakage of pani,Ranchi,40,4,High
2546,Electricity Outage,Bijli chali gayi,Dhanbad,64,5,High
2547,Garbage Dump,Overflowing garbage,Dhanbad,23,0,Medium
2548,Road Damage,bad road condition,Deoghar,5,1,Low
2549,Public Toilet Issue,Toilet unclean,Hazaribagh,6,3,High
2550,Drainage Blockage,Drainage issue,Hazaribagh,13,4,High
2551,Garbage Dump,kachra bahut hai,Dhanbad,63,0,Medium
2552,Electricity Outage,Bijli chali gayi,Chaibasa,31,1,High
2553,Water Leakage,pipe se pani nikal raha hai,Dhanbad,14,3,High
2554,Illegal Parking,no parking followed,Ranchi,24,1,Medium
2555,Pothole,pothol road broken hai,Chaibasa,39,4,Medium
2556,Pothole,pothol road broken hai,Giridih,47,4,Medium
2557,Public Toilet Issue,toilet band hai,Dhanbad,63,2,Medium
2558,Noise Pollution,DJ loud hai,Giridih,94,2,High
2559,Drainage Blockage,Nali jam hai,Deoghar,21,1,High
2560,Road Damage,Road damaged,Dhanbad,10,1,Low
2561,Water Leakage,Pipeline burst,Jamshedpur,75,2,High
2562,Illegal Parking,illegal gaadi parking,Dhanbad,27,0,Medium
2563,Streetlight Not Working,Street dark at night,Chaibasa,55,1,High
2564,Electricity Outage,power outage,Ranchi,85,1,High
2565,Road Damage,Road damaged,Deoghar,3,5,High
2566,Road Damage,road crack,Ranchi,97,0,High
2567,Water Leakage,Water leakage near colony,Jamshedpur,8,5,High
2568,Garbage Dump,Overflowing garbage,Hazaribagh,47,5,High
2569,Road Damage,bad road condition,Chaibasa,53,4,High
2570,Garbage Dump,Overflowing garbage,Hazaribagh,67,2,Medium
2571,Pothole,khadda on street,Dhanbad,5,3,High
2572,Drainage Blockage,dirty water overflow,Giridih,66,2,High
2573,Garbage Dump,kachra bahut hai,Dhanbad,76,3,Medium
2574,Illegal Parking,no parking followed,Jamshedpur,18,1,Medium
2575,Electricity Outage,Bijli chali gayi,Hazaribagh,20,4,High
2576,Road Damage,Road damaged,Jamshedpur,72,5,High
2577,Illegal Parking,Cars parked illegally,Hazaribagh,75,4,Medium
2578,Road Damage,bad road condition,Bokaro,2,0,High
2579,Water Leakage,Pipeline burst,Ranchi,90,0,High
2580,Drainage Blockage,Nali jam hai,Giridih,24,4,High
2581,Drainage Blockage,Nali jam hai,Bokaro,22,2,High
2582,Water Leakage,Pipeline burst,Dhanbad,53,4,High
2583,Water Leakage,Water leakage near colony,Bokaro,58,3,High
2584,Road Damage,Sadak kharab hai,Bokaro,78,3,Medium
2585,Road Damage,bad road condition,Jamshedpur,43,5,High
2586,Road Damage,Road damaged,Ranchi,39,0,Medium
2587,Streetlight Not Working,Light not working,Dhanbad,28,5,High
2588,Streetlight Not Working,Light not working,Chaibasa,44,1,Medium
2589,Pothole,khadda on street,Chaibasa,51,3,High
2590,Drainage Blockage,Drain blocked,Ranchi,74,1,High
2591,Garbage Dump,ganda kachra near market,Chaibasa,79,1,High
2592,Garbage Dump,kachra bahut hai,Giridih,45,4,Medium
2593,Water Leakage,Water leakage near colony,Ranchi,94,5,High
2594,Illegal Parking,illegal gaadi parking,Dhanbad,68,3,High
2595,Streetlight Not Working,bulb kharab,Dhanbad,39,4,Medium
2596,Pothole,Road broken badly,Hazaribagh,97,3,High
2597,Public Toilet Issue,toilet band hai,Giridih,18,4,High
2598,Public Toilet Issue,toilet band hai,Giridih,73,4,High
2599,Public Toilet Issue,smelly toilet,Chaibasa,39,5,High
2600,Electricity Outage,Bijli chali gayi,Jamshedpur,51,2,High
2601,Garbage Dump,Garbage not collected,Bokaro,52,3,High
2602,Streetlight Not Working,Streetlight issue,Jamshedpur,51,5,Medium
2603,Drainage Blockage,dirty water overflow,Dhanbad,1,4,High
2604,Pothole,khadda on street,Dhanbad,20,3,Medium
2605,Pothole,pothol road broken hai,Dhanbad,2,4,High
2606,Streetlight Not Working,Light not working,Bokaro,0,4,Medium
2607,Road Damage,road crack,Chaibasa,30,4,Medium
2608,Drainage Blockage,Nali jam hai,Ranchi,53,1,High
2609,Pothole,Big pothole on road,Bokaro,6,0,Medium
2610,Illegal Parking,no parking followed,Deoghar,13,4,High
2611,Electricity Outage,Bijli chali gayi,Hazaribagh,12,4,High
2612,Electricity Outage,power outage,Ranchi,55,3,High
2613,Road Damage,Road damaged,Giridih,60,1,High
2614,Drainage Blockage,Nali jam hai,Ranchi,88,0,High
2615,Electricity Outage,power outage,Ranchi,16,4,High
2616,Road Damage,road crack,Dhanbad,51,2,Medium
2617,Water Leakage,pipe se pani nikal raha hai,Deoghar,14,2,Medium
2618,Water Leakage,Pipeline burst,Jamshedpur,23,1,High
2619,Electricity Outage,power outage,Hazaribagh,56,0,High
2620,Electricity Outage,Bijli chali gayi,Deoghar,87,2,High
2621,Streetlight Not Working,Light not working,Deoghar,68,1,High
2622,Drainage Blockage,Drain blocked,Bokaro,93,2,High
2623,Pothole,khadda on street,Bokaro,0,5,Medium
2624,Garbage Dump,kachra bahut hai,Bokaro,91,3,High
2625,Electricity Outage,No electricity since morning,Bokaro,68,5,High
2626,Drainage Blockage,Nali jam hai,Hazaribagh,21,1,Medium
2627,Drainage Blockage,Drainage issue,Jamshedpur,12,3,High
2628,Pothole,pothol road broken hai,Ranchi,43,0,High
2629,Electricity Outage,No electricity since morning,Bokaro,34,3,High
2630,Public Toilet Issue,Toilet unclean,Hazaribagh,67,5,High
2631,Noise Pollution,DJ loud hai,Chaibasa,38,5,High
2632,Pothole,Big pothole on road,Chaibasa,42,1,Low
2633,Garbage Dump,kachra bahut hai,Bokaro,100,0,High
2634,Water Leakage,Water leakage near colony,Chaibasa,54,0,High
2635,Water Leakage,Water leakage near colony,Chaibasa,61,4,High
2636,Drainage Blockage,Nali jam hai,Deoghar,87,0,High
2637,Streetlight Not Working,Streetlight issue,Bokaro,41,5,High
2638,Road Damage,bad road condition,Deoghar,72,0,Medium
2639,Illegal Parking,Blocking road,Chaibasa,63,0,Medium
2640,Illegal Parking,no parking followed,Hazaribagh,75,0,High
2641,Noise Pollution,Noise disturbing area,Giridih,32,3,Medium
2642,Noise Pollution,Loud noise,Ranchi,74,0,High
2643,Streetlight Not Working,bulb kharab,Bokaro,73,0,Medium
2644,Illegal Parking,illegal gaadi parking,Hazaribagh,84,4,High
2645,Road Damage,bad road condition,Hazaribagh,99,4,High
2646,Drainage Blockage,Drainage issue,Deoghar,99,3,High
2647,Garbage Dump,kachra bahut hai,Dhanbad,75,0,Medium
2648,Road Damage,Sadak kharab hai,Jamshedpur,77,5,High
2649,Public Toilet Issue,smelly toilet,Ranchi,10,3,High
2650,Electricity Outage,Bijli chali gayi,Hazaribagh,42,0,High
2651,Illegal Parking,no parking followed,Jamshedpur,66,0,Medium
2652,Road Damage,Road damaged,Jamshedpur,43,3,High
2653,Road Damage,Road damaged,Deoghar,10,2,Medium
2654,Noise Pollution,high sound pollution,Jamshedpur,80,1,High
2655,Road Damage,Sadak kharab hai,Bokaro,54,3,Medium
2656,Drainage Blockage,dirty water overflow,Ranchi,95,4,High
2657,Drainage Blockage,Drain blocked,Giridih,24,1,Medium
2658,Noise Pollution,DJ loud hai,Bokaro,10,0,Low
2659,Drainage Blockage,dirty water overflow,Bokaro,44,0,High
2660,Road Damage,Road damaged,Jamshedpur,12,4,High
2661,Streetlight Not Working,Streetlight issue,Bokaro,91,3,Medium
2662,Road Damage,bad road condition,Giridih,63,1,High
2663,Drainage Blockage,Nali jam hai,Giridih,65,5,High
2664,Pothole,khadda on street,Deoghar,80,2,Medium
2665,Streetlight Not Working,Streetlight issue,Deoghar,11,5,High
2666,Water Leakage,Pipeline burst,Jamshedpur,45,2,High
2667,Noise Pollution,DJ loud hai,Dhanbad,5,5,Low
2668,Road Damage,bad road condition,Giridih,76,3,High
2669,Road Damage,road crack,Hazaribagh,10,3,High
2670,Pothole,pothol road broken hai,Chaibasa,13,4,High
2671,Electricity Outage,No electricity since morning,Ranchi,52,2,High
2672,Road Damage,Sadak kharab hai,Chaibasa,0,1,Medium
2673,Illegal Parking,illegal gaadi parking,Jamshedpur,17,4,Medium
2674,Road Damage,road crack,Bokaro,96,4,Medium
2675,Noise Pollution,high sound pollution,Chaibasa,5,3,High
2676,Noise Pollution,DJ loud hai,Ranchi,80,5,High
2677,Noise Pollution,Noise disturbing area,Hazaribagh,65,3,Medium
2678,Streetlight Not Working,Street dark at night,Chaibasa,98,2,High
2679,Streetlight Not Working,Light not working,Giridih,2,5,High
2680,Electricity Outage,Bijli chali gayi,Ranchi,99,5,High
2681,Road Damage,Sadak kharab hai,Chaibasa,8,4,High
2682,Road Damage,Sadak kharab hai,Bokaro,28,5,High
2683,Electricity Outage,Power cut in area,Ranchi,12,1,Medium
2684,Streetlight Not Working,Light not working,Giridih,65,5,Medium
2685,Electricity Outage,No electricity since morning,Ranchi,100,1,High
2686,Streetlight Not Working,bulb kharab,Ranchi,10,4,Medium
2687,Electricity Outage,power outage,Ranchi,8,0,Medium
2688,Noise Pollution,Noise disturbing area,Hazaribagh,27,1,Low
2689,Garbage Dump,Garbage not collected,Chaibasa,7,4,Medium
2690,Electricity Outage,power outage,Ranchi,69,3,High
2691,Noise Pollution,DJ loud hai,Dhanbad,52,1,High
2692,Water Leakage,leakage of pani,Ranchi,23,2,Medium
2693,Water Leakage,Pipeline burst,Jamshedpur,53,0,High
2694,Garbage Dump,Overflowing garbage,Bokaro,88,3,Medium
2695,Water Leakage,Pipeline burst,Ranchi,7,1,High
2696,Illegal Parking,illegal gaadi parking,Jamshedpur,92,1,High
2697,Pothole,pothol road broken hai,Chaibasa,43,3,High
2698,Drainage Blockage,dirty water overflow,Ranchi,72,0,High
2699,Pothole,Road broken badly,Dhanbad,83,3,Medium
2700,Noise Pollution,Loud noise,Chaibasa,5,5,Medium
2701,Pothole,khadda on street,Hazaribagh,32,2,High
2702,Water Leakage,Pipeline burst,Chaibasa,70,0,High
2703,Water Leakage,Water leakage near colony,Hazaribagh,28,2,High
2704,Pothole,Road broken badly,Dhanbad,18,2,High
2705,Pothole,khadda on street,Hazaribagh,74,2,High
2706,Noise Pollution,high sound pollution,Dhanbad,2,1,Low
2707,Water Leakage,pipe se pani nikal raha hai,Jamshedpur,60,3,High
2708,Water Leakage,leakage of pani,Deoghar,34,2,High
2709,Noise Pollution,Loud noise,Deoghar,85,0,High
2710,Electricity Outage,No electricity since morning,Giridih,93,4,High
2711,Road Damage,Sadak kharab hai,Dhanbad,86,3,High
2712,Road Damage,bad road condition,Hazaribagh,67,2,High
2713,Road Damage,Road damaged,Jamshedpur,11,4,High
2714,Garbage Dump,Overflowing garbage,Ranchi,55,2,Medium
2715,Streetlight Not Working,Street dark at night,Dhanbad,50,4,High
2716,Electricity Outage,power outage,Hazaribagh,65,3,High
2717,Streetlight Not Working,bulb kharab,Giridih,73,4,Medium
2718,Pothole,Road broken badly,Dhanbad,21,0,High
2719,Water Leakage,Pipeline burst,Deoghar,1,2,Low
2720,Pothole,Road broken badly,Giridih,70,4,High
2721,Public Toilet Issue,Toilet unclean,Jamshedpur,30,4,Medium
2722,Noise Pollution,Loud noise,Hazaribagh,11,0,High
2723,Garbage Dump,kachra bahut hai,Dhanbad,49,4,Medium
2724,Noise Pollution,Loud noise,Chaibasa,86,4,High
2725,Electricity Outage,power outage,Giridih,69,0,Low
2726,Noise Pollution,DJ loud hai,Hazaribagh,75,4,High
2727,Streetlight Not Working,Light not working,Jamshedpur,57,0,Medium
2728,Drainage Blockage,Nali jam hai,Deoghar,88,2,High
2729,Pothole,Big pothole on road,Hazaribagh,24,5,Medium
2730,Electricity Outage,power outage,Ranchi,52,3,High
2731,Electricity Outage,power outage,Hazaribagh,36,4,High
2732,Pothole,Big pothole on road,Hazaribagh,70,1,High
2733,Garbage Dump,kachra bahut hai,Dhanbad,88,4,High
2734,Electricity Outage,Bijli chali gayi,Giridih,0,1,High
2735,Public Toilet Issue,Public toilet problem,Deoghar,33,5,Medium
2736,Streetlight Not Working,Street dark at night,Dhanbad,52,2,Low
2737,Water Leakage,leakage of pani,Dhanbad,79,0,High
2738,Garbage Dump,Garbage not collected,Deoghar,80,1,Medium
2739,Illegal Parking,Blocking road,Ranchi,14,0,Low
2740,Illegal Parking,no parking followed,Jamshedpur,3,0,Medium
2741,Pothole,Road broken badly,Dhanbad,11,5,High
2742,Illegal Parking,no parking followed,Jamshedpur,8,2,Medium
2743,Drainage Blockage,dirty water overflow,Giridih,1,3,High
2744,Electricity Outage,No electricity since morning,Ranchi,39,3,High
2745,Illegal Parking,Blocking road,Hazaribagh,28,5,High
2746,Drainage Blockage,dirty water overflow,Deoghar,30,0,Medium
2747,Electricity Outage,Bijli chali gayi,Hazaribagh,62,1,High
2748,Illegal Parking,illegal gaadi parking,Dhanbad,68,1,Medium
2749,Public Toilet Issue,toilet band hai,Giridih,85,1,High
2750,Illegal Parking,no parking followed,Giridih,44,5,Medium
2751,Noise Pollution,Noise disturbing area,Chaibasa,56,3,Medium
2752,Garbage Dump,kachra bahut hai,Ranchi,84,1,High
2753,Garbage Dump,Garbage not collected,Chaibasa,65,2,High
2754,Electricity Outage,No electricity since morning,Ranchi,26,2,Medium
2755,Road Damage,Road damaged,Dhanbad,19,0,Medium
2756,Noise Pollution,Noise disturbing area,Dhanbad,94,2,Medium
2757,Electricity Outage,Power cut in area,Jamshedpur,36,5,High
2758,Streetlight Not Working,Street dark at night,Jamshedpur,69,4,High
2759,Streetlight Not Working,bulb kharab,Deoghar,39,1,Medium
2760,Garbage Dump,ganda kachra near market,Hazaribagh,67,4,Medium
2761,Pothole,Big pothole on road,Jamshedpur,44,0,Low
2762,Electricity Outage,Power cut in area,Hazaribagh,25,5,High
2763,Garbage Dump,Garbage not collected,Ranchi,90,3,High
2764,Streetlight Not Working,Streetlight issue,Jamshedpur,63,1,High
2765,Streetlight Not Working,Light not working,Chaibasa,13,4,Low
2766,Streetlight Not Working,Street dark at night,Jamshedpur,38,3,Medium
2767,Noise Pollution,Loud noise,Giridih,59,5,Medium
2768,Illegal Parking,illegal gaadi parking,Ranchi,19,2,Medium
2769,Public Toilet Issue,Toilet unclean,Deoghar,67,2,High
2770,Drainage Blockage,Drain blocked,Dhanbad,28,2,High
2771,Public Toilet Issue,toilet band hai,Ranchi,66,5,Medium
2772,Streetlight Not Working,Light not working,Giridih,59,0,Medium
2773,Noise Pollution,DJ loud hai,Dhanbad,60,1,Medium
2774,Illegal Parking,Cars parked illegally,Chaibasa,32,3,High
2775,Pothole,Big pothole on road,Jamshedpur,57,3,High
2776,Road Damage,Road damaged,Chaibasa,46,2,Medium
2777,Electricity Outage,power outage,Bokaro,24,1,Medium
2778,Illegal Parking,Blocking road,Giridih,74,0,High
2779,Public Toilet Issue,smelly toilet,Chaibasa,2,3,Medium
2780,Noise Pollution,Loud noise,Dhanbad,46,5,High
2781,Electricity Outage,Power cut in area,Jamshedpur,18,3,High
2782,Pothole,Road broken badly,Hazaribagh,83,4,Medium
2783,Garbage Dump,kachra bahut hai,Bokaro,79,4,Medium
2784,Streetlight Not Working,Light not working,Hazaribagh,3,0,Medium
2785,Pothole,Road broken badly,Ranchi,40,1,Low
2786,Drainage Blockage,Drainage issue,Giridih,97,5,High
2787,Noise Pollution,Loud noise,Hazaribagh,42,1,Medium
2788,Electricity Outage,Bijli chali gayi,Hazaribagh,63,3,High
2789,Illegal Parking,no parking followed,Chaibasa,15,2,Medium
2790,Garbage Dump,ganda kachra near market,Jamshedpur,17,4,High
2791,Streetlight Not Working,Light not working,Chaibasa,75,2,Medium
2792,Pothole,Road broken badly,Chaibasa,97,5,Medium
2793,Electricity Outage,No electricity since morning,Deoghar,55,5,High
2794,Drainage Blockage,Drain blocked,Jamshedpur,8,3,High
2795,Garbage Dump,ganda kachra near market,Hazaribagh,46,3,Medium
2796,Pothole,pothol road broken hai,Chaibasa,27,0,Low
2797,Public Toilet Issue,smelly toilet,Hazaribagh,37,0,Medium
2798,Water Leakage,leakage of pani,Deoghar,72,1,High
2799,Water Leakage,Pipeline burst,Hazaribagh,57,1,High
2800,Public Toilet Issue,Public toilet problem,Bokaro,83,3,High
2801,Streetlight Not Working,Streetlight issue,Giridih,43,1,Low
2802,Streetlight Not Working,Light not working,Chaibasa,67,3,Medium
2803,Road Damage,Sadak kharab hai,Bokaro,66,3,High
2804,Streetlight Not Working,Light not working,Deoghar,33,0,Medium
2805,Water Leakage,Pipeline burst,Giridih,60,1,High
2806,Illegal Parking,no parking followed,Deoghar,32,0,Low
2807,Pothole,khadda on street,Chaibasa,94,3,High
2808,Garbage Dump,kachra bahut hai,Ranchi,75,5,High
2809,Water Leakage,Water leakage near colony,Giridih,61,1,High
2810,Water Leakage,pipe se pani nikal raha hai,Dhanbad,22,5,High
2811,Drainage Blockage,Drain blocked,Giridih,83,3,High
2812,Electricity Outage,Power cut in area,Deoghar,20,4,High
2813,Road Damage,Sadak kharab hai,Deoghar,29,0,Low
2814,Pothole,Road broken badly,Dhanbad,26,4,Medium
2815,Noise Pollution,Noise disturbing area,Jamshedpur,70,0,High
2816,Garbage Dump,Overflowing garbage,Ranchi,7,3,Medium
2817,Streetlight Not Working,Streetlight issue,Bokaro,10,3,High
2818,Pothole,Road broken badly,Bokaro,4,2,Low
2819,Electricity Outage,Power cut in area,Bokaro,48,4,High
2820,Public Toilet Issue,Public toilet problem,Ranchi,55,1,High
2821,Drainage Blockage,Drainage issue,Dhanbad,33,0,Medium
2822,Drainage Blockage,Nali jam hai,Bokaro,13,5,High
2823,Public Toilet Issue,Public toilet problem,Jamshedpur,23,4,High
2824,Drainage Blockage,dirty water overflow,Hazaribagh,83,0,High
2825,Public Toilet Issue,Public toilet problem,Deoghar,50,5,Medium
2826,Drainage Blockage,Drainage issue,Chaibasa,26,4,High
2827,Public Toilet Issue,smelly toilet,Giridih,92,0,High
2828,Drainage Blockage,Nali jam hai,Ranchi,96,3,High
2829,Garbage Dump,kachra bahut hai,Ranchi,72,1,High
2830,Electricity Outage,No electricity since morning,Ranchi,30,4,Low
2831,Water Leakage,Water leakage near colony,Bokaro,20,2,High
2832,Drainage Blockage,Drainage issue,Dhanbad,8,0,Medium
2833,Pothole,pothol road broken hai,Bokaro,14,4,Medium
2834,Pothole,Road broken badly,Hazaribagh,28,3,High
2835,Water Leakage,Water leakage near colony,Giridih,37,1,High
2836,Pothole,Big pothole on road,Bokaro,44,4,Medium
2837,Electricity Outage,power outage,Ranchi,11,1,Medium
2838,Noise Pollution,Loud noise,Dhanbad,76,4,High
2839,Streetlight Not Working,bulb kharab,Chaibasa,9,3,High
2840,Pothole,Big pothole on road,Hazaribagh,49,1,Medium
2841,Garbage Dump,ganda kachra near market,Dhanbad,75,1,Medium
2842,Drainage Blockage,Nali jam hai,Giridih,29,5,High
2843,Drainage Blockage,Drainage issue,Giridih,19,5,High
2844,Pothole,khadda on street,Jamshedpur,79,3,High
2845,Water Leakage,leakage of pani,Hazaribagh,84,5,High
2846,Garbage Dump,Garbage not collected,Bokaro,8,2,Low
2847,Water Leakage,leakage of pani,Jamshedpur,12,4,High
2848,Public Toilet Issue,Public toilet problem,Chaibasa,62,4,Medium
2849,Electricity Outage,Bijli chali gayi,Jamshedpur,16,1,Medium
2850,Drainage Blockage,Nali jam hai,Jamshedpur,89,4,High
2851,Road Damage,bad road condition,Ranchi,61,3,High
2852,Streetlight Not Working,bulb kharab,Giridih,30,1,Low
2853,Water Leakage,pipe se pani nikal raha hai,Hazaribagh,43,3,High
2854,Road Damage,Sadak kharab hai,Bokaro,100,2,Medium
2855,Public Toilet Issue,Toilet unclean,Dhanbad,17,3,High
2856,Noise Pollution,Noise disturbing area,Deoghar,99,1,Medium
2857,Drainage Blockage,dirty water overflow,Jamshedpur,94,2,High
2858,Drainage Blockage,Drainage issue,Dhanbad,1,0,Medium
2859,Water Leakage,Water leakage near colony,Chaibasa,96,2,High
2860,Water Leakage,Water leakage near colony,Jamshedpur,82,0,High
2861,Electricity Outage,Power cut in area,Dhanbad,72,4,High
2862,Illegal Parking,Cars parked illegally,Chaibasa,21,5,High
2863,Drainage Blockage,dirty water overflow,Deoghar,6,4,High
2864,Pothole,Big pothole on road,Bokaro,2,5,Medium
2865,Streetlight Not Working,Street dark at night,Dhanbad,47,1,Low
2866,Noise Pollution,Loud noise,Ranchi,28,3,High
2867,Public Toilet Issue,smelly toilet,Ranchi,62,5,Medium
2868,Illegal Parking,no parking followed,Giridih,7,3,High
2869,Drainage Blockage,Nali jam hai,Deoghar,1,0,High
2870,Public Toilet Issue,Public toilet problem,Dhanbad,54,5,High
2871,Streetlight Not Working,Light not working,Jamshedpur,100,3,High
2872,Garbage Dump,kachra bahut hai,Dhanbad,55,2,High
2873,Electricity Outage,power outage,Bokaro,14,5,High
2874,Road Damage,Road damaged,Giridih,46,3,High
2875,Noise Pollution,Noise disturbing area,Ranchi,37,1,Low
2876,Drainage Blockage,Drain blocked,Chaibasa,12,4,High
2877,Noise Pollution,Noise disturbing area,Dhanbad,72,1,High
2878,Road Damage,road crack,Hazaribagh,28,3,High
2879,Streetlight Not Working,bulb kharab,Giridih,34,2,Medium
2880,Electricity Outage,Bijli chali gayi,Ranchi,57,4,High
2881,Streetlight Not Working,Light not working,Giridih,48,1,Low
2882,Illegal Parking,Cars parked illegally,Hazaribagh,93,5,Medium
2883,Streetlight Not Working,Streetlight issue,Deoghar,64,2,High
2884,Electricity Outage,Power cut in area,Ranchi,30,2,High
2885,Electricity Outage,No electricity since morning,Ranchi,86,3,High
2886,Garbage Dump,Garbage not collected,Chaibasa,37,1,Low
2887,Illegal Parking,illegal gaadi parking,Chaibasa,10,4,Medium
2888,Public Toilet Issue,Public toilet problem,Giridih,16,5,Medium
2889,Garbage Dump,Overflowing garbage,Hazaribagh,47,5,Medium
2890,Noise Pollution,high sound pollution,Dhanbad,4,0,Medium
2891,Garbage Dump,Garbage not collected,Hazaribagh,1,4,Medium
2892,Road Damage,Sadak kharab hai,Hazaribagh,49,0,Medium
2893,Drainage Blockage,dirty water overflow,Bokaro,4,1,High
2894,Streetlight Not Working,Streetlight issue,Chaibasa,3,3,High
2895,Garbage Dump,kachra bahut hai,Dhanbad,70,1,Medium
2896,Noise Pollution,Loud noise,Jamshedpur,82,2,Medium
2897,Illegal Parking,Cars parked illegally,Deoghar,42,1,Medium
2898,Streetlight Not Working,Streetlight issue,Dhanbad,38,5,High
2899,Drainage Blockage,Nali jam hai,Hazaribagh,2,5,High
2900,Electricity Outage,Power cut in area,Giridih,82,4,High
2901,Pothole,Road broken badly,Bokaro,52,3,High
2902,Water Leakage,pipe se pani nikal raha hai,Ranchi,73,5,High
2903,Road Damage,bad road condition,Dhanbad,78,0,High
2904,Streetlight Not Working,Light not working,Chaibasa,98,1,Medium
2905,Electricity Outage,power outage,Dhanbad,78,2,High
2906,Noise Pollution,Loud noise,Bokaro,68,5,Medium
2907,Noise Pollution,Noise disturbing area,Jamshedpur,88,0,High
2908,Public Toilet Issue,Toilet unclean,Dhanbad,3,3,High
2909,Pothole,pothol road broken hai,Dhanbad,47,2,Low
2910,Electricity Outage,Bijli chali gayi,Ranchi,84,1,High
2911,Garbage Dump,ganda kachra near market,Jamshedpur,59,5,High
2912,Illegal Parking,Cars parked illegally,Bokaro,82,2,High
2913,Pothole,Road broken badly,Hazaribagh,13,3,High
2914,Pothole,Big pothole on road,Ranchi,25,3,High
2915,Illegal Parking,Blocking road,Ranchi,80,2,Medium
2916,Road Damage,bad road condition,Jamshedpur,4,4,High
2917,Illegal Parking,illegal gaadi parking,Hazaribagh,70,1,Medium
2918,Pothole,Road broken badly,Deoghar,58,1,High
2919,Garbage Dump,ganda kachra near market,Ranchi,53,4,High
2920,Illegal Parking,Blocking road,Chaibasa,14,1,Low
2921,Pothole,khadda on street,Jamshedpur,30,4,Medium
2922,Illegal Parking,illegal gaadi parking,Hazaribagh,24,5,High
2923,Water Leakage,pipe se pani nikal raha hai,Deoghar,82,2,High
